day_of_week_of_death,manner_of_death,count,total,percentage
1,,0,331201,0.0
1,1,21953,331201,6.628301243051802
1,2,6173,331201,1.8638228749309333
1,3,3241,331201,0.978559847343456
1,4,645,331201,0.1947457888110241
1,5,1561,331201,0.4713150020682305
1,7,297628,331201,89.86325524379455
2,,0,331674,0.0
2,1,19434,331674,5.859367933573328
2,2,6945,331674,2.093923551439064
2,3,2502,331674,0.7543551800864704
2,4,624,331674,0.18813654371461133
2,5,1514,331674,0.4564723192050025
2,7,300655,331674,90.64774447198153
3,,0,329896,0.0
3,1,19122,329896,5.796372190023522
3,2,6799,329896,2.0609525426194923
3,3,2508,329896,0.7602395906588743
3,4,532,329896,0.16126294347309456
3,5,1613,329896,0.4889419695904164
3,7,299322,329896,90.7322307636346
4,,0,329877,0.0
4,1,19424,329877,5.88825531940693
4,2,6361,329877,1.9282944855203605
4,3,2522,329877,0.7645273844493553
4,4,561,329877,0.17006338726252512
4,5,1585,329877,0.48048211909287397
4,7,299424,329877,90.76837730426796
5,,0,338117,0.0
5,1,20194,338117,5.972488813044005
5,2,6308,338117,1.8656263955967904
5,3,2546,338117,0.7529937861746082
5,4,621,338117,0.18366423456969036
5,5,1574,338117,0.4655193320655276
5,7,306874,338117,90.75970743854937
6,,0,334173,0.0
6,1,21055,334173,6.3006287162637316
6,2,6153,334173,1.841261861371206
6,3,2509,334173,0.750808712852325
6,4,587,334173,0.17565751871036858
6,5,1547,334173,0.46293386958252164
6,7,302322,334173,90.46870932121985
7,,0,334759,0.0
7,1,22759,334759,6.798622292455169
7,2,5658,334759,1.690171138042592
7,3,3055,334759,0.9125968233863765
7,4,595,334759,0.17773980684611915
7,5,1657,334759,0.4949829578891083
7,7,301035,334759,89.92588698138063
9,1,20,137,14.5985401459854
9,2,20,137,14.5985401459854
9,3,2,137,1.4598540145985401
9,5,3,137,2.18978102189781
9,7,92,137,67.15328467153284
